Merkmal;Auspraegung;Beschreibung;erge;unk;Kommentar
Begleitvegetation;Deckungsgrad Adlerfarn - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-1,5;0;NA
Begleitvegetation;Deckungsgrad Brombeere - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1,5;0;NA
Begleitvegetation;Deckungsgrad Brombeere - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;0,5;0;NA
Begleitvegetation;Deckungsgrad Brombeere - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-2;0;NA
Begleitvegetation;Deckungsgrad Brombeere - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-1,5;0;NA
Begleitvegetation;Deckungsgrad Gräser- über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-2;0;"Zeiger für überhöhte Wildbestände; NA"
Begleitvegetation;Deckungsgrad Gräser - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;0,5;0;NA
Begleitvegetation;Deckungsgrad Gräser - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-1;0;NA
Begleitvegetation;Deckungsgrad Gräser - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;-2;1;NA
Begleitvegetation;Deckungsgrad krautige Pflanzen - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1;0;NA
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 25% bis 50%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1;0;NA
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1;0;"Deckungsgade hängen stark von Standort (z.B. Krautvegetion auf Kalkböde; NA"
Begleitvegetation;Deckungsgrad krautige Pflanzen - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1;0;NA
Begleitvegetation;Deckungsgrad Zwergsträucher- über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1;0;NA
Begleitvegetation;Deckungsgrad Zwergsträucher- über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;0;0;NA
Begleitvegetation;Deckungsgrad Zwergsträucher - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;1,5;0;NA
Begleitvegetation;Deckungsgrad Zwergsträucher - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;0,5;0;NA
Bestandesschichtung;einschichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;-2;0;NA
Bestandesschichtung;mehrschichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;1;0;NA
Bestandesschichtung;plenterartig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;1;0;NA
Bestandesschichtung;zweischichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;1;0;NA
Mikrohabitate;<5 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;-2;0;NA
Mikrohabitate;>10 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;1,5;0;NA
Mikrohabitate;5 bis 10 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;0,5;0;NA
Totholz I;Menge je ha - über 80 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;2;0;NA
Totholz I;Menge je ha - unter 5 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;-1,5;0;NA
Totholz I;Menge je ha  - 21 bis 40 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;1;0;NA
Totholz I;Menge je ha  - 41 bis 60 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;2;0;NA
Totholz I;Menge je ha  - 5 bis 20 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;-1;0;NA
Totholz I;Menge je ha  - 61 bis 80 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;2;0;NA
Totholz II;Zersetzungsgrad - niedriger Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;-1;0;NA
Totholz II;Zersetzungsgrad - überwiegend niedriger Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;0,5;0;NA
Totholz II;Zersetzungsgrad -hoher Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;0,5;0;NA
Totholz II;Zersetzungsgrad -überwiegend hoher Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;1,5;0;NA
Totholz III;Lagerung - liegend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;1;1;NA
Totholz III;Lagerung - stehend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;2;1;NA
Totholz III;Lagerung - überwiegend liegend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;1;0;NA
Totholz III;Lagerung - überwiegend stehend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;1,5;0;"Stehendes Totholz wird über kurz oder lang zu liegendem, es können sich jedoch keine; NA"
Totholz IV;Art - Laubholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;1,5;0;NA
Totholz IV;Art - Nadelholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;-1;0;NA
Totholz IV;Art - überwiegend Laubholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;2;0;NA
Totholz IV;Art - überwiegend Nadelholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;-2;0;NA
Totholz V;Totholzdiversität auf Betriebsebene - hoch;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;1,5;0;NA
Totholz V;Totholzdiversität auf Betriebsebene - mittel;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;0,5;0;NA
Totholz V;Totholzdiversität auf Betriebsebene - niedrig;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;-1,5;0;NA
