Merkmal;Auspraegung;Beschreibung;Wertung_a;Wertung;Hinweis;erge;erg;unk
Begleitvegetation;Deckungsgrad Gräser - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;0;0
Begleitvegetation;Deckungsgrad Gräser - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-0,5;0
Begleitvegetation;Deckungsgrad Gräser- über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;0
Begleitvegetation;Deckungsgrad Adlerfarn - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;1
Begleitvegetation;Deckungsgrad Adlerfarn - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;0;1
Begleitvegetation;Deckungsgrad Adlerfarn - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-1;2
Begleitvegetation;Deckungsgrad Adlerfarn - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;-2;1
Begleitvegetation;Deckungsgrad Brombeere - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;0,5;0
Begleitvegetation;Deckungsgrad Brombeere - über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;0
Begleitvegetation;Deckungsgrad Brombeere - über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;1
Begleitvegetation;Deckungsgrad Brombeere - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;0
Begleitvegetation;Deckungsgrad Zwergsträucher - bis 25%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;1
Begleitvegetation;Deckungsgrad Zwergsträucher- über 25% bis 50 %;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;0,5;2
Begleitvegetation;Deckungsgrad Zwergsträucher- über 50% bis 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;1;1
Begleitvegetation;Deckungsgrad Zwergsträucher - über 75%;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;11;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.;;0;1
Bestandesschichtung;einschichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;10;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.;;-1;1
Bestandesschichtung;zweischichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;10;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.;;1;0
Bestandesschichtung;mehrschichtig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;10;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.;;1;0
Bestandesschichtung;plenterartig;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;10;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.;;1;0
Mikrohabitate;<5 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;8;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;0;0
Mikrohabitate;5 bis 10 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;8;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;2;0
Mikrohabitate;>10 Mikrohabitate je ha;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;8;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;0,5;0
Totholz I;Menge je ha - unter 5 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;2;0
Totholz I;Menge je ha  - 5 bis 20 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;-0,5;0
Totholz I;Menge je ha  - 21 bis 40 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;1;0
Totholz I;Menge je ha  - 41 bis 60 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;1,5;0
Totholz I;Menge je ha  - 61 bis 80 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;-0,5;0
Totholz I;Menge je ha - über 80 Rm;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;3;Bitte beurteilen Sie die Menge an Totholz je ha hinsichtlich ihres Beitrags zur Biodiversität.;;2;0
Totholz II;Zersetzungsgrad - niedriger Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;4;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;0,5;0
Totholz II;Zersetzungsgrad - überwiegend niedriger Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;4;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;1;0
Totholz II;Zersetzungsgrad -überwiegend hoher Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;4;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;1;0
Totholz II;Zersetzungsgrad -hoher Zersetzungsgrad;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;4;Bitte beurteilen Sie den Zersetzungsgrad des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;1;0
Totholz III;Lagerung - liegend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;5;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;1;1
Totholz III;Lagerung - überwiegend liegend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;5;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;2;1
Totholz III;Lagerung - stehend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;5;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;1;1
Totholz III;Lagerung - überwiegend stehend;Bitte beurteilen Sie die Lagerung des Totholzes bezüglich seines Einflusses auf die Biodiversität.;;5;Bitte beurteilen Sie die Arte des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;2;1
Totholz IV;Art - Nadelholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;6;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;1,5;0
Totholz IV;Art - überwiegend Nadelholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;6;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;-1,5;0
Totholz IV;Art - Laubholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;6;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;2;0
Totholz IV;Art - überwiegend Laubholz;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;6;Bitte beurteilen Sie die Art des Totholzes hinsichtlich seines Einflusses auf die Biodiversität.;;-1;0
Totholz V;Totholzdiversität auf Betriebsebene - niedrig;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;7;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;2;0
Totholz V;Totholzdiversität auf Betriebsebene - mittel;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;7;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;0;1
Totholz V;Totholzdiversität auf Betriebsebene - hoch;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;7;Bitte beurteilen Sie die Totholzdiversität auf Betriebsebene hinsichtlich ihres Einflusses auf die Biodiversität.;;-1;1
