Merkmal;Beschreibung;Ausprägung;Wertung;Hinweis
Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;einschichtig;6;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.
Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;zweischichtig;6;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.
Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;mehrschichtig;6;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.
Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;plenterartig;6;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad auff. blühende krautige Pflanzen - bis 25%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad auff. blühende krautigePflanzen - über 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Gräser - bis 25%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Gräser - über 25% bis 50 %;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Gräser - über 50% bis 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Gräser- über 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Adlerfarn - bis 25%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Adlerfarn - über 25% bis 50 %;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Adlerfarn - über 50% bis 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Adlerfarn - über 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Brombeere - bis 25%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Brombeere - über 25% bis 50 %;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Brombeere - über 50% bis 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Brombeere - über 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Zwergsträucher - bis 25%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Zwergsträucher- über 25% bis 50 %;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Zwergsträucher- über 50% bis 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;Deckungsgrad Zwergsträucher - über 75%;7;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;gedrängt;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;geschlossen;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;locker;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;licht;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;räumig, räumdig;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;lückig;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte I;Prozentualer Anteil des von Baumkronen bedeckten Himmels, als Maß für die Bestandesdichte;stark differenziert;8;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte der Bestandesdichte hervorzuheben.
Bestandesdichte II;Kronenoberflächen als Dichtemaß. Kronenansatz in einem Bestand als Maß für die transpirierende und für  Deposition  zur Verfügung stehende Oberfläche. ;Kronenansatz tief;9;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. 
Bestandesdichte II;Kronenoberflächen als Dichtemaß. Kronenansatz in einem Bestand als Maß für die transpirierende und für  Deposition  zur Verfügung stehende Oberfläche. ;Kronenansatz mittel;9;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. 
Bestandesdichte II;Kronenoberflächen als Dichtemaß. Kronenansatz in einem Bestand als Maß für die transpirierende und für  Deposition  zur Verfügung stehende Oberfläche. ;Kronenansatz hoch;9;Bitte beurteilen Sie die Wirkung auf die Trinkwasserproduktion. 
