;Auspraegung;Merkmal;Beschreibung;Wertung_a;Wertung;Hinweis;erge;erg;unk
20;Deckungsgrad auff. blühende krautige Pflanzen - bis 25%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;0
21;Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;0
22;Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;0
23;Deckungsgrad auff. blühende krautige Pflanzen - über 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;0
24;Deckungsgrad Brombeere - bis 25%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;1
25;Deckungsgrad Brombeere - über 25% bis 50 %;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;-1;keine;1
26;Deckungsgrad Brombeere - über 50% bis 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;-1,5;keine;1
27;Deckungsgrad Brombeere - über 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;-2;keine;1
28;Deckungsgrad Gräser- über 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;0;keine;0
29;Deckungsgrad Gräser - bis 25%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;0;keine;0
30;Deckungsgrad Gräser - über 25% bis 50 %;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;0;keine;0
31;Deckungsgrad Gräser - über 50% bis 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;0;keine;0
32;Deckungsgrad Zwergsträucher- über 25% bis 50 %;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;"Definition Zwergstrauch? - unter 100cm - Sammelbegriff für Heidelbeeren, Heidekraut usw. 
";1
33;Deckungsgrad Zwergsträucher- über 50% bis 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;1
34;Deckungsgrad Zwergsträucher - bis 25%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;1
35;Deckungsgrad Zwergsträucher - über 75%;Begleitvegetation;Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ;NA;9;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.;1;keine;1
36;Eine Hauptbaumart mit einer Mischbaumart.;Baumartenmischung: Mischungsform III;Anzahl der an der Mischung beteiligten Baumarten.;NA;4;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.;1;keine;1
37;Eine Hauptbaumart mit mehr als zwei Mischbaumarten.;Baumartenmischung: Mischungsform III;Anzahl der an der Mischung beteiligten Baumarten.;NA;4;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.;2;keine;0
38;Eine Hauptbaumart mit zwei Mischbaumarten.;Baumartenmischung: Mischungsform III;Anzahl der an der Mischung beteiligten Baumarten.;NA;4;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.;1;keine;1
39;einschichtig;Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;NA;8;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.;0;keine;0
40;kein Waldinnenrand;Waldinnenrand;Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.;NA;5;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.;0;keine;0
41;Krautsaum und Strauchgürtel mit regelmäßigen Lücken;Waldinnenrand;Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.;NA;5;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.;1;keine;0
42;Krautsaum und Strauchgürtel ohne Lücken;Waldinnenrand;Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.;NA;5;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.;1;keine;0
43;Laubbaumarten;Baumarten I;Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.;NA;6;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite werden Baumartengruppen detaillierter beschrieben. Nutzen Sie gerne die Anmerkungen.;1;keine;0
44;mehrschichtig;Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;NA;8;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.;1;keine;0
45;Mischbestand;Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;NA;1;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.;1;keine;0
46;Mischungsform:  gruppenweise;Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;NA;2;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.;1;keine;1
47;Mischungsform:  horstweise;Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;NA;2;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.;1,5;keine;1
48;Mischungsform:  reihen- oder streifenweise;Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;NA;2;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.;1;keine;2
49;Mischungsform: baumweise;Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;NA;2;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.;1;keine;0
50;Mischungsform: truppweise;Baumartenmischung: Mischungsform I;Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.;NA;2;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.;1;keine;0
51;Nadelbaumarten;Baumarten I;Baumarten in einem Bestand, es ist z. B. relevant, ob überwiegend Fichten oder überwiegend Buchen vorkommen.;NA;6;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite werden Baumartengruppen detaillierter beschrieben. Nutzen Sie gerne die Anmerkungen.;1;keine;0
52;plenterartig;Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;NA;8;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.;2;keine;0
53;Reinbestand;Baumartenmischung: Mischungsart;Mischung von mehreren Baumarten in einem Bestand mit nennenswerten Anteilen. ;NA;1;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite wird Mischung noch detaillierter abgefragt.;0;keine;1
54;Strauchgürtel mit regelmäßigen Lücken;Waldinnenrand;Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.;NA;5;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.;1;"Wie sind Lücken definiert? -  Lücken im Sinne von Einsehbarkeit in die hinter dem Waldinnenrand liegenden Bestände. 
Was meint hier ""regelmäßig""? - damit sind keine gleichmäßigen Abstände gemeint. ";2
55;Strauchgürtel ohne Lücken;Waldinnenrand;Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.;NA;5;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.;1;keine;0
56;zweischichtig;Bestandesschichtung;Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.;NA;8;Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.;0;keine;0
