Merkmal;Beschreibung;Wertung_a;Ausprägung;Wertung;Hinweis
Mikrohabitate;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;<5 Mikrohabitate je ha;7;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.
Mikrohabitate;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;5 bis 10 Mikrohabitate je ha;7;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.
Mikrohabitate;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.;;>10 Mikrohabitate je ha;7;Bitte beurteilen Sie die Wirkung der Anzahl an Habitatbäumen auf die Biodiversität eines Bestandes.
Baumartenmischung;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;;Reinbestand;8;Bitte beurteilen Sie die Wirkung der Mischungsart auf die Biodiversität eines Bestandes.
Baumartenmischung;Bitte beurteilen Sie die Wirkung der  Mischungsart auf die Biodiversität eines Bestandes.;;Mischbestand;8;Bitte beurteilen Sie die Wirkung der Mischungsart auf die Biodiversität eines Bestandes.
Bestandesschichtung;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;einschichtig;9;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.
Bestandesschichtung;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;zweischichtig;9;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.
Bestandesschichtung;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;mehrschichtig;9;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.
Bestandesschichtung;Bitte beurteilen Sie die Wirkung der  Bestandesschichtung auf die Biodiversität eines Bestandes.;;plenterartig;9;Bitte beurteilen Sie die Wirkung der Bestandesschichtung auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad krautige Pflanzen - bis 25%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad krautige Pflanzen - über 25% bis 50%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad krautige Pflanzen - über 50% bis 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad krautige Pflanzen - über 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Gräser - bis 25%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Gräser - über 25% bis 50 %;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Gräser - über 50% bis 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Gräser- über 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Adlerfarn - bis 25%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Adlerfarn - über 25% bis 50 %;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Adlerfarn - über 50% bis 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Adlerfarn - über 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Brombeere - bis 25%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Brombeere - über 25% bis 50 %;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Brombeere - über 50% bis 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Brombeere - über 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Zwergsträucher - bis 25%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Zwergsträucher- über 25% bis 50 %;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Zwergsträucher- über 50% bis 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
Begleitvegetation;Bitte beurteilen Sie die Wirkung des  Deckungsgrades auf die Biodiversität.;;Deckungsgrad Zwergsträucher - über 75%;10;Bitte beurteilen Sie die Wirkung der Bodenvegetation auf die Biodiversität eines Bestandes.
