"";"Auspraegung";"Merkmal";"Beschreibung";"Wertung_a";"Wertung";"Hinweis";"erge";"erg";"NA";"as.factor(Merkmal)";"Median_Wertung";"NA_Count"
"11";NA;"Baumartenmischung: Mischungsform I";"Mischungsform:  reihen- oder streifenweise";"Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.";2;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.";1;"keine";2;NA;NA;NA
"12";NA;"Baumartenmischung: Mischungsform I";"Mischungsform: baumweise";"Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.";2;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.";1;"keine";0;NA;NA;NA
"13";NA;"Baumartenmischung: Mischungsform I";"Mischungsform: truppweise";"Form der Mischung - baumartenbezogene Mischung von Mischbaumarten in Relation zur Hauptbaumart.";2;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Auf der folgenden Seite  wird Mischung noch nach Baumartengruppen gegliedert abgefragt.";1;"keine";0;NA;NA;NA
"14";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Laubbaumarten  mit einzeln beigemischten Nadelbäumen.";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";0;NA;NA;NA
"15";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Laubbaumarten  mit flächig eingemischten Nadelbäumen.";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";0;NA;NA;NA
"16";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Nadelbaumarten mit einzeln beigemischten auffälligen Laubbäumen (z.B. Birken).";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";1;NA;NA;NA
"17";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Nadelbaumarten mit einzeln beigemischten Laubbäumen.";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";1;NA;NA;NA
"18";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Nadelbaumarten mit flächig eingemischten auffälligen Laubbäumen (z.B. Birken).";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";0;NA;NA;NA
"19";NA;"Baumartenmischung: Mischungsform II";"Bestand mit Nadelbaumarten mit flächig eingemischten Laubbäumen.";"Form der Mischung - Mischung von Baumartengruppen.";3;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um beispielhafte Baumartenkombinationen zu beschreiben.";1;"keine";0;NA;NA;NA
"20";NA;"Baumartenmischung: Mischungsform III";"Eine Hauptbaumart mit einer Mischbaumart.";"Anzahl der an der Mischung beteiligten Baumarten.";4;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.";1;"keine";1;NA;NA;NA
"21";NA;"Baumartenmischung: Mischungsform III";"Eine Hauptbaumart mit mehr als zwei Mischbaumarten.";"Anzahl der an der Mischung beteiligten Baumarten.";4;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.";2;"keine";0;NA;NA;NA
"22";NA;"Baumartenmischung: Mischungsform III";"Eine Hauptbaumart mit zwei Mischbaumarten.";"Anzahl der an der Mischung beteiligten Baumarten.";4;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um Baumartenkombinationen zu beschreiben.";1;"keine";1;NA;NA;NA
"23";NA;"Begleitvegetation";"Deckungsgrad Adlerfarn - bis 25%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";1;NA;NA;NA
"24";NA;"Begleitvegetation";"Deckungsgrad Adlerfarn - über 25% bis 50 %";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";0;"keine";1;NA;NA;NA
"25";NA;"Begleitvegetation";"Deckungsgrad Adlerfarn - über 50% bis 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";-1;"keine";1;NA;NA;NA
"26";NA;"Begleitvegetation";"Deckungsgrad Adlerfarn - über 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";-1;"keine";1;NA;NA;NA
"27";NA;"Begleitvegetation";"Deckungsgrad auff. blühende krautige Pflanzen - bis 25%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";0;NA;NA;NA
"28";NA;"Begleitvegetation";"Deckungsgrad auff. blühende krautige Pflanzen - über 25% bis 50%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";0;NA;NA;NA
"29";NA;"Begleitvegetation";"Deckungsgrad auff. blühende krautige Pflanzen - über 50% bis 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";0;NA;NA;NA
"30";NA;"Begleitvegetation";"Deckungsgrad auff. blühende krautige Pflanzen - über 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";0;NA;NA;NA
"31";NA;"Begleitvegetation";"Deckungsgrad Brombeere - bis 25%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";1;NA;NA;NA
"32";NA;"Begleitvegetation";"Deckungsgrad Brombeere - über 25% bis 50 %";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";-1;"keine";1;NA;NA;NA
"33";NA;"Begleitvegetation";"Deckungsgrad Brombeere - über 50% bis 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";-1,5;"keine";1;NA;NA;NA
"34";NA;"Begleitvegetation";"Deckungsgrad Brombeere - über 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";-2;"keine";1;NA;NA;NA
"35";NA;"Begleitvegetation";"Deckungsgrad Gräser- über 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";0;"keine";0;NA;NA;NA
"36";NA;"Begleitvegetation";"Deckungsgrad Gräser - bis 25%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";0;"keine";0;NA;NA;NA
"37";NA;"Begleitvegetation";"Deckungsgrad Gräser - über 25% bis 50 %";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";0;"keine";0;NA;NA;NA
"38";NA;"Begleitvegetation";"Deckungsgrad Gräser - über 50% bis 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";0;"keine";0;NA;NA;NA
"39";NA;"Begleitvegetation";"Deckungsgrad Zwergsträucher- über 25% bis 50 %";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"Definition Zwergstrauch? - unter 100cm - Sammelbegriff für Heidelbeeren, Heidekraut usw. 
";1;NA;NA;NA
"40";NA;"Begleitvegetation";"Deckungsgrad Zwergsträucher- über 50% bis 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";1;NA;NA;NA
"41";NA;"Begleitvegetation";"Deckungsgrad Zwergsträucher - bis 25%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";1;NA;NA;NA
"42";NA;"Begleitvegetation";"Deckungsgrad Zwergsträucher - über 75%";"Vegetation am Waldboden (ohne Bäume), z.B. Gräser, Adlerfarn oder Heidelbeeren. ";9;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Arten von Bodenvegetation hervorzuheben und deren Wirkung zu beschreiben.";1;"keine";1;NA;NA;NA
"43";NA;"Besondere Einzelbäume";"Besondere Einzelbäume, die im Abstand von 100m  vorzufinden sind.";"Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ";10;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.";2;"keine";0;NA;NA;NA
"44";NA;"Besondere Einzelbäume";"Besondere Einzelbäume, die im Abstand von 200m  vorzufinden sind.";"Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ";10;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.";1;"keine";0;NA;NA;NA
"45";NA;"Besondere Einzelbäume";"Besondere Einzelbäume, die im Abstand von 300m  vorzufinden sind.";"Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ";10;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.";1;"keine";0;NA;NA;NA
"46";NA;"Besondere Einzelbäume";"Besondere Einzelbäume, die im Abstand von 400m  vorzufinden sind.";"Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ";10;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.";1;"keine";0;NA;NA;NA
"47";NA;"Besondere Einzelbäume";"Besondere Einzelbäume, die im Abstand von 500m  vorzufinden sind.";"Im Bestand besonders auffällig wirkend, z.B. aufgrund des Alters, der Größe oder Form. ";10;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Aspekte besonderer Einzelbäume hervorzuheben.";1;"keine";0;NA;NA;NA
"48";NA;"Bestandesschichtung";"einschichtig";"Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.";8;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.";0;"keine";0;NA;NA;NA
"49";NA;"Bestandesschichtung";"mehrschichtig";"Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.";8;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.";1;"keine";0;NA;NA;NA
"50";NA;"Bestandesschichtung";"plenterartig";"Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.";8;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.";2;"keine";0;NA;NA;NA
"51";NA;"Bestandesschichtung";"zweischichtig";"Vertikaler Aufbau eines Waldes in eine oder mehrere Bestandesschichten.";8;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um weitere Aspekte von Bestandesschichtung hervorzuheben.";0;"keine";0;NA;NA;NA
"52";NA;"Waldinnenrand";"kein Waldinnenrand";"Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.";5;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.";0;"keine";0;NA;NA;NA
"53";NA;"Waldinnenrand";"Krautsaum und Strauchgürtel mit regelmäßigen Lücken";"Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.";5;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.";1;"keine";0;NA;NA;NA
"54";NA;"Waldinnenrand";"Krautsaum und Strauchgürtel ohne Lücken";"Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.";5;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.";1;"keine";0;NA;NA;NA
"55";NA;"Waldinnenrand";"Strauchgürtel mit regelmäßigen Lücken";"Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.";5;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.";1;"Wie sind Lücken definiert? -  Lücken im Sinne von Einsehbarkeit in die hinter dem Waldinnenrand liegenden Bestände. 
Was meint hier ""regelmäßig""? - damit sind keine gleichmäßigen Abstände gemeint. ";2;NA;NA;NA
"56";NA;"Waldinnenrand";"Strauchgürtel ohne Lücken";"Übergang zwischen Beständen und Wegen in einem Waldgebiet, z.B. Vorkommen krautiger Vegetation oder Sträucher.";5;"Bitte beurteilen Sie die Wirkung auf die Erholungsleistung. Nutzen Sie gerne die Anmerkungen, um bestimmte Eigenschaften hervorzuheben, oder andere Einteilungen von Waldinnenrändern vorzuschlagen.";1;"keine";0;NA;NA;NA
